"WDS";"Discov";"Comp";"Firs";"Last";"Obs";"P1";"P2";"Sep.01";"Sep.02";"Mag1";"Mag2";"Spectr";"M1RA";"M1DE";"M2RA";"M2DE";"DurNum";"Not";"Coord2000ArcSec";"Mag1Num";"Mag2Num"
"00011+6935";"STTA253";"AB";1875;2010;23;353;354;100.5;101.2;"7.57";"8.03";"B9";"6";"-7";"12";"2";"+68 1418";"N";"000104.51+693432.0";7.57;8.03
"00011+6935";"STTA253";"AC";1894;2003;12;191;191;187.2;187.8;"7.56";"8.87";"B9";"6";"-7";"-3";"-12";"";"N";"000104.51+693432.0";7.56;8.87
"00013+6021";"STTA254";"AB";1874;2010;30;90;89;58.9;57.7;"7.40";"8.33";"NIab:p";"9";"-6";"1";"-5";"+59 2810";"N";"000115.85+602119.0";7.4;8.33
"00024+1047";"BGH   1";"AB,C";1900;2012;16;301;301;63.7;63.2;"8.80";"8.55";"G0";"-48";"-118";"-45";"-118";"+09 5313";"NV";"000225.33+104635.9";8.8;8.55
"00026+1841";"SHY 378";"AB";1991;2000;4;3;3;550.1;550.1;"8.26";"8.61";"F5+G0";"-18";"19";"-18";"19";"+17 5027";"NV";"000233.44+184100.1";8.26;8.61
"00042+6217";"S   838";"AD";1824;2012;16;196;197;245.4;244;"5.92";"8.24";"A1III";"-1";"0";"-2";"-2";"+61 2585";"N";"000413.66+621715.5";5.92;8.24
"00054+1620";"STTA255";"";1874;2016;28;337;337;89.2;88.2;"8.69";"8.86";"G0";"33";"-31";"32";"-30";"+15 4935";"NVW";"000524.30+161944.4";8.69;8.86
"00080+3123";"STTA256";"AB";1876;2013;35;117;113;103.1;110.7;"7.13";"7.28";"A5";"-28";"-25";"44";"-3";"+30    2";"NY";"000801.73+312328.4";7.13;7.28
"00091+4051";"BU  483";"AC";1879;2012;19;261;269;144;158.2;"7.04";"7.66";"K0IV";"126";"-172";"-9";"-12";"";"";"000903.67+405034.3";7.04;7.66
"00097+5202";"BU  484";"AC";1902;2015;25;52;51;82.5;83.2;"7.62";"8.54";"A2+A2";"20";"-9";"16";"2";"+51   10";"";"000944.24+520141.9";7.62;8.54
